MFG_DATE,TOOLG_ID,IS_HOLIDAY,M_NUM,UP_TIME,C_UP_TIME,LOT_SIZE,C_LOT_SIZE,EQP_UTIL,C_EQP_UTIL,EQP_AVAIL_RATE,TC,PROCESS_TIME,PROCESS_JOBTIME,INLINE_CT_BY_LOT,INLINE_CT_BY_WAFER,WIP_QTY,NO_HOLD_QTY,MOVE_QTY,ARRIVAL_WIP_QTY,RUN_WIP,RUN_WIP_RATIO,CLOSE_WIP_QTY,MANAGEMENT_WIP_QTY,C_TC,C_CLOSE_WIP,C_TOOLG_LOADING,C_TOOL_LOADING,DISPATCHING,HOLD_RATE,ENG_LOT_RATE,HOT_LOT_RATE,BACKUP_BY_RATE,BACKUP_FOR_RATE,REWORK_LOT_RATE,QUE_LOT_RATE,SAMPLING_RATE,NUM_RECIPE,CHANGE_RECIPE,BATCH_SIZE
20210113,PK_DUVKrF,0.9499,32.0,0.941769487473372,0.135995436932333,21.6619071902091,0.196187026859426,0.982179962897812,0.334645565352197,0.0681253187149414,0.397091859936335,1.2195368009519,0.835899767692221,0.524545978761781,0.458150307711959,16176.000,14570.000,42479,41352,2096.000,7.717557,46056,NULL,4.97539782001705,0.286411748698694,NULL,NULL,NULL,0.099282,0.01403046211069,0.0331222486405047,0,0.0332399538595541,0.021634219261282,0.456625626780291,0,426,0.669556348801,NULL
20210113,PW_PIX,0.9499,3.0,0.872908369608842,0.146720276432703,21.051724137931,0.201871521004455,0.547843870829157,0.599946807209479,0.442528735632184,0.535895061728395,1.21089559386973,0.811494252873563,1.41391702586207,1.61793744502078,92.000,51.000,1221,1297,0.000,0,783,NULL,3.6866072753595,16.8464691229697,NULL,NULL,NULL,0.445652,0.00327600327600328,0,0,0.734643734643735,0.00245700245700246,0.264537264537265,0,7,0.655172413793,NULL
20210113,XE_Sorter,0.9499,18.0,0.992273445298591,0.129052621962026,22.9922239502333,0.18483635727826,0.680810574667875,0.482779785527684,0.820200449282875,0.0750206953642384,0.0782875410402627,0.0752600656644203,0.0725812075197281,0.0591363117315266,2013.000,627.000,29568,31556,0.000,0,37877,NULL,26.3269554375429,0.348659067478552,NULL,NULL,NULL,0.688524,0.0184659090909091,0.0406182359307359,0.00378787878787879,0.053030303030303,0.00635822510822511,0.200859036796537,0,3,0.307631160572,NULL
20210114,MA_Alps,0.9499,6.0,0.896539548022599,0.142860845451852,24.2222222222222,0.175436311264791,0.368461330692356,0.892018597655692,0.365530303030303,NULL,1.5543023989899,1.55347222222222,0.141329966329966,0.153780602177119,25.000,25.000,427,426,25.000,1,661,NULL,0,19.9644584016052,NULL,NULL,NULL,0,0,0.0596330275229358,0.341743119266055,0.174311926605505,0,0.48394495412844,0,7,0.444444444444,NULL
20210114,PK_DUVKrF,0.9499,32.0,0.930591613989997,0.137639039852988,21.3709759836484,0.19885550044715,0.986036385407737,0.333327369894795,0.0708993357179356,0.396214483714484,1.21860287855561,0.843036393572929,0.44312148105566,0.440799033415514,15049.000,13588.000,41823,41892,2192.000,6.865419,45069,NULL,4.98646673376175,0.292795357015179,NULL,NULL,NULL,0.097082,0.011739951701217,0.0318485044114482,7.17308657915501E-05,0.0277598450613299,0.0289553594911891,0.443511943189154,0,417,0.693919264179,NULL
20210114,PW_PIX,0.9499,3.0,0.981198481059554,0.130536865423538,24.25,0.175244646524902,0.584265024028537,0.562535105713649,0.526041666666667,0.557138242894057,1.41925347222222,0.893519965277778,2.4496923828125,2.50619304690483,168.000,126.000,1552,1542,50.000,3.36,883,NULL,3.54608378588802,14.9443118407507,NULL,NULL,NULL,0.25,0,0,0,0.623711340206186,0.032860824742268,0.375644329896907,0,10,0.734375,NULL
20210114,XE_Sorter,0.9499,18.0,0.977475739145647,0.131015345292922,22.9092344119968,0.185499000971866,0.655855614849326,0.501127172550378,0.821143558712619,0.0799952741020794,0.0832504604051565,0.0786757870735771,0.091621293007688,0.0852274409628915,4001.000,2811.000,29026,27386,75.000,53.346666,35141,NULL,24.6901101378015,0.375949812634766,NULL,NULL,NULL,0.297425,0.0168814166609247,0.0519534210707641,0.00282505340039964,0.0642871907944601,0.00623578860332116,0.264934885964308,0,3,0.282362459546,NULL
20210115,MA_Alps,0.9499,6.0,0.715609660090766,0.179049984943564,22.65,0.187686455266283,0.67417722216609,0.487467015971403,0.344262295081967,NULL,1.97339253187614,1.97234289617486,0.207968180783242,0.209423273643803,24.000,23.000,439,491,20.000,1.2,975,NULL,0,13.5402009735318,NULL,NULL,NULL,0.041666,0,0,0,0.507726269315673,0,0.492273730684327,0,5,0.45,NULL
20210115,PK_DUVKrF,0.9499,32.0,0.935632438408817,0.136937053637292,21.4675855028076,0.198040628104656,0.980331523928916,0.335228323780088,0.0694072230729964,0.399882235986847,1.16028571833702,0.826655323010606,0.3572360532112,0.368403479845617,15118.000,13583.000,42055,42331,2147.000,7.041453,44932,NULL,4.94124879746285,0.293802997190081,NULL,NULL,NULL,0.101534,0.0129592200689573,0.0278920461300678,0.000737129948876471,0.025514207585305,0.0177148971584829,0.463916300083224,0,424,0.721796835119,NULL
20210115,PW_PIX,0.9499,3.0,0.91197400512488,0.140485717196623,23.2537313432836,0.182827418070185,0.623414629872207,0.527144647096001,0.447761194029851,0.580978260869565,1.38599502487562,0.859340796019901,2.06559096876727,2.14000834254505,158.000,111.000,1558,1472,36.000,4.388888,487,NULL,3.40092368792108,27.1067782797474,NULL,NULL,NULL,0.297468,0,0.0160462130937099,0,0.689345314505777,0,0.310654685494223,0,10,0.701492537313,NULL
