STOCK_EVENT_TIME,PART_NO,CATEGORY,PUT_ON_SERIAL,REPLACE_SERIAL,EQP_NO,CHAMBER_NO,LAYER,PUT_ON_STATUS,REPLACE_STATUS,KIND,FAB,QTY
2015/10/17 11:11,85-ECT0010,GE,54GC8MM-02011,57179MM-020Z1,ECT62,PM1,F38 1T,新品,備品,TS,P2,1
2015/10/17 11:28,85-ECT0010,GE,53CB9MM-02011,53F54MM-02011,ECT70,PM1,F68 1C,備品,備品,TS,P2,1
2015/10/17 18:47,85-ECT0010,GE,55B70MM-02011,54B54MM-02011,ECT13,PM2,1C,備品,備品,PM,P1,1
2015/10/17 18:53,85-ECT0010,GE,53530MM-02011,53530MM-02011,EHT03,PM2,1C,clean,廠內清洗,PM,P1,1
2015/10/17 23:52,85-ECT0010,GE,55C80MM-02011,55C80MM-02011,ECT62,PM2,F38 1T,clean,廠內清洗,PM,P2,1
2015/10/18 09:23,85-ECT0010,GE,54B54MM-02011,53G28MM-02011,EHT03,PM1,1C,備品,備品,PM,P1,1
2015/10/18 18:14,85-ECT0010,GE,55B87MM-02011,55213MM-02011,ECT61,PM1,F63 2B SAC,新品,備品,PM,P2,1
2015/10/18 18:18,85-ECT0010,GE,54GC8MM-02011,54GC8MM-02011,ECT62,PM1,F38 1T,clean,廠內清洗,TS,P2,1
2015/10/18 23:50,85-ECT0010,GE,55195MM-02011,55C80MM-02011,ECT62,PM2,F38 1T,新品,備品,TS,P2,1
2015/10/18 23:55,85-ECT0010,GE,55C80MM-02011,53380MM-02011,ECT15,PM2,LCD 1C,備品,備品,PM,P1,1
2015/10/18 23:57,85-ECT0010,GE,54747MM-02011,54747MM-02011,ECT66,PM3,F68 1C,clean,廠內清洗,PM,P2,1
2015/10/19 19:47,85-ECT0010,GE,53380MM-02011,52DG1MM-02011,EHT02,PM2,LCD 1C,備品,待報廢,TS,P1,1
2015/10/19 19:51,85-ECT0010,GE,54414MM-02011,54414MM-02011,ECT18,PM2,C4F8 1T,clean,廠內清洗,PM,P1,1
2015/10/19 21:27,85-ECT0010,GE,53AP6MM-02011,53AP6MM-02011,ECT14,PM1,DK40 4N,clean,廠內清洗,PM,P1,1
2015/10/19 22:49,85-ECT0010,GE,55196MM-02011,54GC8MM-02011,ECT62,PM1,F38 1T,新品,備品,TS,P2,1
2015/10/19 22:49,85-ECT0010,GE,54GC8MM-02011,54GC8MM-02011,ECT62, ,F38 1T,clean,廠內清洗,TS,P2,1
2015/10/20 04:06,85-ECT0010,GE,53F57MM-02011,53F57MM-02011,ECT69,PM3,F68 1C,clean,廠內清洗,TS,P2,1
2015/10/20 20:12,85-ECT0010,GE,53F57MM-02011,53F57MM-02011,ECT69,PM3,F68 1C,clean,廠內清洗,TS,P2,1
2015/10/21 07:10,85-ECT0010,GE,54415MM-020Z1,53386MM-02011,EHT09,PM2,DK40 7F,新品,備品,TS,P1,1
2015/10/21 17:45,85-ECT0010,GE,53388MM-02011,53388MM-02011,EHT07,PM1,LCD 1C,clean,廠內清洗,PM,P1,1
2015/10/21 22:54,85-ECT0010,GE,55199MM-02011,55199MM-02011,ECT69,PM1,F68 1C,clean,廠內清洗,PM,P2,1
