MFG_MONTH,TOOL_ID,M_NUM,UP_TIME,C_UP_TIME,LOT_SIZE,C_LOT_SIZE,EQP_UTIL,C_EQP_UTIL,EQP_AVAIL_RATE,TC,PROCESS_TIME,PROCESS_JOBTIME,INLINE_CT_LOT,INLINE_CT_WAFER,MOVE_QTY,C_TC,ENG_LOT_RATE,HOT_LOT_RATE,BACKUP_BY_RATE,BACKUP_FOR_RATE,RWORK_LOT_RATE,QUE_LOT_RATE,SAMPLING_RATE,NUM_RECIPE,CHANGE_RECIPE
202002,EUT51,2,0.934521371,0.02221103,21.5164076,0.08714369,0.89800525,0.260082649,2.154696133,1.552677367,2.385969613,2.069875998,0.41694071,0.476583527,12458,0.542678486,0.000802697,0.008348049,0,0,8.03E-05,0.99991973,0,30,0.789291883
202002,EUT52,2,0.955940248,0.021463738,17.35724534,0.117650243,0.899521558,0.260931427,1.84453303,1.77520951,2.19349247,1.954190395,0.486391262,0.527647843,12098,0.364990891,0.136303521,0.138204662,0,0.003058357,0.002810382,0.994131261,0,103,0.921090387
202002,EUT53,3,0.930637784,0.022032502,21.79029957,0.092862174,0.960409964,0.247239886,1.625235405,1.743199351,2.88263065,2.179515654,0.44350334,0.44595968,15275,0.567289333,0.028477905,0.060360065,0,0.001178396,0.000720131,0.997119476,0,63,0.733238231
202002,EUT54,2,0.898066711,0.02421046,22.21719457,0.090092576,0.817948793,0.288912225,2.99321267,3.196264368,3.121953871,3.025540473,0.416300093,0.447247636,9820,0.249495054,0.005906314,0.00814664,0,0,0.000203666,0.999796334,0,15,0.907239819
202002,EUT55,3,0.926590482,0.023479159,23.7480916,0.083550309,0.943662595,0.252234855,1.920250896,2.148542977,3.142330994,2.665544106,0.401220743,0.402126016,15555,0.515381411,0.00225008,0.046994536,0,0,0.000385728,0.999614272,0,45,0.847328244
202002,EUT56,2,0.945761287,0.022750651,21.53703704,0.091498633,0.90662599,0.263081454,1.984304933,1.618995121,2.414617588,2.048168286,0.51249638,0.52937823,12793,0.538046794,0.002188697,0.055811772,0,0,0.000469006,0.999530994,0,40,0.781144781
202002,EUT57,3,0.960536581,0.022230093,24.3443662,0.0806244,0.791632084,0.299141111,0.99314346,0.738776287,1.10896185,0.890346343,0.147734009,0.175461203,34569,0.956264566,0.003587029,0.041221904,0,0.000549625,0.00468628,0.109982933,0,33,0.758450704
202002,EUT58,3,0.954018764,0.022156449,22.67429577,0.085640236,0.899727981,0.263371954,1.772300469,3.439957483,3.41802279,3.140011248,0.478040212,0.493245355,12879,0.481526692,0.002096436,0.028030127,0,0,0.001009395,0.998990605,0,15,0.924295775
202002,EUT59,3,0.926364774,0.022845895,22.53295933,0.085290554,0.86185498,0.274149196,1.879560751,2.165411255,2.736421065,2.467869878,0.39775014,0.413070002,16066,0.529116234,0.000746919,0.016183244,0,0,0.001556081,0.998443919,0,27,0.887798036
202002,EUT60,2,0.938485405,0.022370354,23.23703704,0.081904272,0.855114089,0.275324955,4.020987654,3.801279762,3.872812071,3.609383402,0.356945102,0.369698248,9411,0.254021184,0.000637552,0.021251727,0,0,0,1,0,8,0.908641975
