PART_NO,EQP_NO,QTY,PM,TS,MFG_MONTH,Tool.MFG_MONTH,Tool.TOOL_ID,Tool.M_NUM,Tool.UP_TIME,Tool.C_UP_TIME,Tool.LOT_SIZE,Tool.C_LOT_SIZE,Tool.EQP_UTIL,Tool.C_EQP_UTIL,Tool.EQP_AVAIL_RATE,Tool.TC,Tool.PROCESS_TIME,Tool.PROCESS_JOBTIME,Tool.INLINE_CT_LOT,Tool.INLINE_CT_WAFER,Tool.MOVE_QTY,Tool.C_TC,Tool.ENG_LOT_RATE,Tool.HOT_LOT_RATE,Tool.BACKUP_BY_RATE,Tool.BACKUP_FOR_RATE,Tool.RWORK_LOT_RATE,Tool.QUE_LOT_RATE,Tool.SAMPLING_RATE,Tool.NUM_RECIPE,Tool.CHANGE_RECIPE
85-ECT0010,ECT12,7,7.0,0.0,202012,202012.0,ECT12,2.0,0.953302875,0.046603746,23.6609589,0.273782976,0.85878071,0.251591719,3.455691057,2.145248451,1.771409666,1.583755646,0.305821947,0.313291249,20727.0,0.502079304,0.004728132,0.049741883,0.0,0.0,0.0,0.888599411,0.0,41.0,0.831050228
85-ECT0010,ECT12,5,5.0,0.0,202101,202101.0,ECT12,2.0,0.95209028,0.046909867,23.55668934,0.265125419,0.870852437,0.24777049,3.184013322,2.1632494,1.766861643,1.612207188,0.264676196,0.279762638,20777.0,0.483684995,0.002984069,0.079896039,0.0,0.0,0.000673822,0.806805602,0.0,43.0,0.886621315
85-ECT0010,ECT12,5,5.0,0.0,202102,202102.0,ECT12,2.0,0.96889459,0.04636137,23.51970181,0.256664346,0.908596425,0.237506541,3.168573608,2.197036867,1.800658742,1.578207475,0.393914889,0.401322219,22085.0,0.498789009,0.004256283,0.095087163,0.0,0.0,0.0,0.787231152,0.0,48.0,0.860489883
85-ECT0010,ECT12,6,6.0,0.0,202103,202103.0,ECT12,2.0,0.961425602,0.046308221,23.76399561,0.246239355,0.889013393,0.243026046,3.176716918,2.165095445,1.870717476,1.684310674,0.366522786,0.370796948,21649.0,0.49259494,0.00549679,0.089195806,0.0,0.0,0.000831447,0.80054506,0.0,50.0,0.883644347
85-ECT0010,ECT13,8,8.0,0.0,202002,202002.0,ECT13,2.0,0.926191511,0.068979487,23.81347774,0.340799797,0.964795465,0.219726306,1.459958217,1.125302639,1.781762999,1.312994622,1.300946229,1.253548748,19789.0,0.554741085,0.01212795,0.01778766,0.0,0.0,0.009449694,0.620344636,0.0,68.0,0.667870036
85-ECT0010,ECT13,7,7.0,0.0,202003,202003.0,ECT13,2.0,0.898566537,0.059713123,23.94367694,0.469305327,0.953775469,0.231329989,1.416563659,1.110568442,1.767888511,1.31140846,1.184252013,1.078420063,22531.0,0.563262816,0.012693622,0.017575784,0.0,0.0,0.012427322,0.504771204,0.0,95.0,0.724760893
85-ECT0010,ECT13,6,6.0,0.0,202004,202004.0,ECT13,2.0,0.931312483,0.05286156,23.43323996,0.44570794,0.882863868,0.254159913,1.673340961,1.032183931,1.430980645,1.153880308,0.63019086,0.502775107,25097.0,0.58231271,0.01793043,0.023349404,0.0,0.0,0.008407379,0.627365821,0.0,101.0,0.861811391
85-ECT0010,ECT13,6,6.0,0.0,202005,202005.0,ECT13,2.0,0.947389852,0.050433022,23.442607,0.408986429,0.874600375,0.256894541,1.583067093,1.102202148,1.516429357,1.256253461,0.350408709,0.322906128,24099.0,0.569721884,0.021494668,0.031329101,0.0,0.0,0.010124901,0.756089464,0.0,104.0,0.874513619
85-ECT0010,ECT13,4,4.0,0.0,202006,202006.0,ECT13,2.0,0.931744904,0.050042479,22.94906954,0.386904358,0.873268916,0.256222782,1.552649457,1.136047804,1.512519814,1.299596543,0.364295515,0.372949953,23431.0,0.543277742,0.028893346,0.034868337,0.0,0.0,0.018437113,0.753190218,0.0,104.0,0.904015671
85-ECT0010,ECT13,8,8.0,0.0,202007,202007.0,ECT13,2.0,0.91484878,0.049916214,22.11241447,0.375520627,0.859391719,0.259773324,1.477130977,1.221664241,1.543024563,1.324732425,0.466418734,0.479767929,22621.0,0.566784993,0.028159675,0.030016356,0.0,0.004597498,0.033906547,0.715795058,0.0,118.0,0.866080156
85-ECT0010,ECT13,4,4.0,0.0,202008,202008.0,ECT13,2.0,0.963076499,0.04652366,22.12449393,0.353612709,0.839169554,0.263902408,1.394071146,1.787598039,1.721479359,1.493519982,0.46427464,0.46301768,21858.5,0.529497636,0.0324809,0.043551855,0.0,0.002058649,0.025069765,0.615856169,0.0,110.0,0.856275304
85-ECT0010,ECT13,7,7.0,0.0,202009,202009.0,ECT13,2.0,0.939167256,0.047720283,22.34619289,0.331323301,0.876834523,0.250895813,1.432973806,2.164054968,1.783609613,1.529852551,0.721318437,0.696553795,22010.5,0.518838495,0.038162737,0.043251102,0.0,0.00149925,0.021670983,0.674889828,0.0,75.0,0.859898477
85-ECT0010,ECT13,5,5.0,0.0,202010,202010.0,ECT13,2.0,0.960575301,0.046685852,22.54933876,0.312370829,0.845929627,0.258683986,1.277394636,2.050849142,1.722472329,1.506118135,0.525846176,0.503798134,22165.5,0.509744607,0.030767843,0.044482541,0.0,0.00338356,0.019579536,0.609943156,0.0,65.0,0.865717192
85-ECT0010,ECT13,6,5.0,1.0,202011,202011.0,ECT13,2.0,0.955460655,0.046854606,22.97222222,0.293362978,0.783394564,0.277267139,1.277689243,1.930378014,1.669817397,1.425704737,0.540805399,0.496493519,20675.0,0.55998154,0.02191052,0.05286578,0.0,0.000918984,0.00764208,0.634195889,0.0,71.0,0.844444444
85-ECT0010,ECT13,5,5.0,0.0,202012,202012.0,ECT13,2.0,0.942060949,0.04714418,22.73878365,0.284805471,0.891367161,0.242362157,1.361392833,1.970844886,1.635363609,1.397833559,0.632636252,0.681132148,22806.5,0.575539711,0.02472925,0.057175429,0.0,0.005700004,0.010873855,0.7895383,0.0,75.0,0.830508475
85-ECT0010,ECT13,7,7.0,0.0,202101,202101.0,ECT13,2.0,0.932473694,0.047881761,22.1321499,0.282110276,0.855185629,0.252260045,1.218930636,1.892127673,1.606090639,1.383271315,0.712111742,0.754158549,22441.5,0.561237227,0.024284823,0.037964531,0.0,0.050129222,0.016442385,0.720033865,0.0,76.0,0.833333333
85-ECT0010,ECT13,5,5.0,0.0,202102,202102.0,ECT13,2.0,0.953890926,0.047079529,22.83186706,0.264333562,0.887961116,0.242995761,1.412677878,1.913131653,1.651970318,1.348874874,0.573931592,0.563091299,23357.0,0.607928889,0.015627007,0.043669992,0.0,0.11551141,0.003810421,0.696065419,0.0,71.0,0.828934506
85-ECT0010,ECT13,6,6.0,0.0,202103,202103.0,ECT13,2.0,0.953549018,0.046680472,22.58789625,0.259000638,0.892155226,0.242143208,1.328822733,1.984349157,1.649172869,1.409747406,0.564455972,0.546877897,23513.5,0.557483253,0.018797312,0.069958323,0.0,0.110359786,0.003189589,0.756315387,0.0,74.0,0.857829011
85-ECT0010,ECT14,6,6.0,0.0,202002,202002.0,ECT14,2.0,0.905669874,0.070355348,23.65222482,0.348864408,0.702075949,0.301055392,0.926814988,1.577315476,1.531459797,1.350690216,0.307295136,0.312492745,20199.0,0.396049954,0.001831774,0.001534729,0.0,0.0,0.015495817,0.713698698,0.0,34.0,0.857142857
85-ECT0010,ECT14,7,7.0,0.0,202003,202003.0,ECT14,2.0,0.901503059,0.059456313,22.8,0.492737701,0.606557763,0.36335,1.088554217,1.776733218,1.633723896,1.418447122,0.291591114,0.293931987,18924.0,0.444347476,0.003276263,0.009987318,0.0,0.0,0.014531811,0.735098288,0.0,57.0,0.84939759
85-ECT0010,ECT14,4,4.0,0.0,202004,202004.0,ECT14,2.0,0.939229672,0.052353042,23.14476886,0.451014299,0.571611271,0.39231648,1.137469586,1.719679487,1.616386523,1.430704244,0.198672854,0.196775187,19025.0,0.463705168,0.004362681,0.007779238,0.0,0.0,0.007936925,0.746333771,0.0,54.0,0.871046229
85-ECT0010,ECT14,6,6.0,0.0,202005,202005.0,ECT14,2.0,0.947596709,0.050379057,23.43329532,0.40893937,0.596109341,0.376675436,0.941277081,1.646395464,1.585079818,1.386463955,0.225834099,0.215012364,20551.0,0.42389236,0.007931488,0.021653448,0.0,0.0,0.011288988,0.703956012,0.0,59.0,0.854047891
85-ECT0010,ECT14,4,4.0,0.0,202006,202006.0,ECT14,2.0,0.935667195,0.04979601,23.35031185,0.380075625,0.669782873,0.333830938,0.841995842,1.856862069,1.597840725,1.388673481,0.280154758,0.277189542,22463.0,0.373844603,0.00814673,0.012732048,0.0,0.003516894,0.007568001,0.712104349,0.0,66.0,0.857588358
85-ECT0010,ECT14,4,4.0,0.0,202007,202007.0,ECT14,2.0,0.959189046,0.04758756,22.77613412,0.364406728,0.671128496,0.33244788,0.940335306,1.8809,1.602684637,1.369093524,0.442231137,0.362370776,23095.0,0.392998921,0.010521758,0.010565057,0.0,0.011344447,0.006018619,0.702836112,0.0,76.0,0.847140039
85-ECT0010,ECT14,3,3.0,0.0,202008,202008.0,ECT14,2.0,0.974142123,0.04598925,22.76404494,0.34353439,0.65997977,0.335388009,1.099080695,2.003577724,1.66326325,1.435196345,0.43728598,0.378412926,22286.0,0.417168955,0.008929373,0.01471776,0.0,0.007987077,0.003948667,0.734407251,0.0,70.0,0.859039837
85-ECT0010,ECT14,6,6.0,0.0,202009,202009.0,ECT14,2.0,0.928703651,0.048235928,22.95227525,0.322457337,0.663847716,0.331247715,1.259156493,2.128684142,1.789459551,1.519003268,0.390746521,0.393233947,20679.5,0.42787809,0.014313346,0.024903288,0.0,0.004738878,0.003143133,0.752901354,0.0,50.0,0.835738069
85-ECT0010,ECT14,4,4.0,0.0,202010,202010.0,ECT14,2.0,0.965754754,0.046425337,23.2369146,0.303033666,0.579188929,0.377726997,1.616391185,2.189407845,2.161514769,1.730055096,0.405572247,0.391831004,16870.0,0.497262295,0.018968583,0.053289864,0.0,0.008417309,0.001600474,0.806994665,0.0,44.0,0.825068871
85-ECT0010,ECT14,3,3.0,0.0,202011,202011.0,ECT14,2.0,0.963630195,0.046446988,23.03295311,0.292503463,0.612203,0.354700912,1.652724968,2.20427651,1.972124701,1.660762217,0.345167509,0.343464074,18172.5,0.478703208,0.012546085,0.034941947,0.0,0.002476201,0.005777802,0.811038354,0.0,42.0,0.840304183
85-ECT0010,ECT14,4,4.0,0.0,202012,202012.0,ECT14,2.0,0.965496152,0.045991431,23.88834356,0.271039461,0.634750855,0.340247065,1.757668712,2.185848291,1.976297887,1.668624063,0.31568128,0.320993184,19468.5,0.473404039,0.011145924,0.011967744,0.0,0.074015101,0.002516822,0.736761005,0.0,39.0,0.855214724
85-ECT0010,ECT14,5,5.0,0.0,202101,202101.0,ECT14,2.0,0.968761703,0.046082088,23.42709677,0.266455195,0.607015344,0.355314441,1.881935484,2.230067901,2.04987957,1.705605018,0.343335335,0.341950604,18156.0,0.483316167,0.006499229,0.016743776,0.0,0.253029302,0.010685173,0.647609606,0.0,32.0,0.843870968
85-ECT0010,ECT14,3,3.0,0.0,202102,202102.0,ECT14,2.0,0.973536832,0.046126262,23.44783715,0.257335334,0.613582591,0.351582673,1.751908397,2.204369034,2.157614857,1.692777071,0.415282534,0.407723219,18430.0,0.489264884,0.008301682,0.008627238,0.0,0.322409116,0.008301682,0.576668475,0.0,34.0,0.816793893
85-ECT0010,ECT14,6,6.0,0.0,202103,202103.0,ECT14,2.0,0.962236264,0.046251409,23.20680958,0.252041183,0.621320919,0.347622459,1.62295082,2.24519697,2.112009598,1.658398837,0.388790254,0.378515067,18402.5,0.48207374,0.004673151,0.010759115,0.0,0.3112536,0.00575993,0.542791936,0.0,48.0,0.843631778
85-ECT0010,ECT15,5,5.0,0.0,202002,202002.0,ECT15,2.0,0.967839624,0.065681854,22.99411765,0.364057719,0.78033151,0.269979721,2.427121771,1.226983719,1.690128895,1.52303198,0.288303693,0.321472078,15636.0,0.537270343,0.034983372,0.0919033,0.0,0.0,0.001982604,0.918201586,0.0,40.0,0.873529412
85-ECT0010,ECT15,5,5.0,0.0,202003,202003.0,ECT15,2.0,0.956004067,0.055982087,22.94877765,0.489452238,0.843671706,0.260869241,2.290627362,1.219693116,1.667122281,1.51217981,0.361663054,0.373936215,19713.0,0.517209448,0.046365343,0.115304621,0.0,0.0,0.00223203,0.942728149,0.0,65.0,0.860302678
85-ECT0010,ECT15,5,5.0,0.0,202004,202004.0,ECT15,2.0,0.964539019,0.050938548,22.76975945,0.45816066,0.822107086,0.27250544,2.371121718,1.22424391,1.634927517,1.500694555,0.283292773,0.29730069,19878.0,0.4954314,0.041251635,0.089797766,0.0,0.0,0.003068719,0.919156857,0.0,75.0,0.914089347
85-ECT0010,ECT15,6,6.0,0.0,202005,202005.0,ECT15,2.0,0.956627355,0.049867159,22.74418605,0.421079037,0.832762504,0.269445535,1.834862385,1.214650638,1.690582893,1.538864563,0.322535215,0.34413347,19560.0,0.501103694,0.029345603,0.066104294,0.0,0.0,0.008384458,0.889723926,0.0,105.0,0.913953488
85-ECT0010,ECT15,6,6.0,0.0,202006,202006.0,ECT15,2.0,0.962174279,0.048400941,21.72747748,0.408214562,0.853243717,0.261929668,1.349092646,1.33536446,1.832553858,1.721311684,0.477246973,0.51224443,19294.0,0.371406737,0.017570229,0.082409039,0.0,0.0,0.019332435,0.854047891,0.0,134.0,0.947072072
85-ECT0010,ECT15,6,6.0,0.0,202007,202007.0,ECT15,2.0,0.947031759,0.048170788,21.7991453,0.380536561,0.894862128,0.249272839,1.482126899,1.416845435,1.879652467,1.762366448,0.666558301,0.732984757,20404.0,0.416166386,0.01205646,0.085424427,0.0,0.0,0.00965497,0.896294844,0.0,124.0,0.93482906
85-ECT0010,ECT15,6,6.0,0.0,202008,202008.0,ECT15,2.0,0.941705451,0.047548661,21.98268398,0.355581086,0.909799326,0.243263097,1.770816158,1.799391777,1.836636668,1.69442246,0.586939798,0.565746929,20312.0,0.470184436,0.019791256,0.088174478,0.0,0.0,0.008270973,0.931025994,0.0,138.0,0.906926407
85-ECT0010,ECT15,6,6.0,0.0,202009,202009.0,ECT15,2.0,0.947829459,0.047242445,22.01304348,0.336077703,0.877012305,0.250679537,1.912677305,2.116032986,1.860281718,1.728057279,0.485637108,0.493132459,20252.0,0.404934304,0.028095991,0.104088485,0.0,0.0,0.007258542,0.963509777,0.0,86.0,0.90326087
85-ECT0010,ECT15,5,5.0,0.0,202010,202010.0,ECT15,2.0,0.96446829,0.046476372,22.17640449,0.317409803,0.871942618,0.250851882,2.319418386,2.219547491,1.916832916,1.805889097,0.470881551,0.495254725,19736.5,0.383123825,0.038506359,0.102295182,0.0,0.0,0.002178649,0.980898819,0.0,64.0,0.93258427
85-ECT0010,ECT15,6,6.0,0.0,202011,202011.0,ECT15,2.0,0.962310762,0.046499636,22.37007874,0.301073364,0.905796596,0.239707494,2.392942109,2.255695,1.853747246,1.664868491,0.45910719,0.47824803,19886.5,0.504832037,0.03062302,0.081409966,0.0,0.0,0.004575854,0.933474129,0.0,78.0,0.872890889
85-ECT0010,ECT15,6,6.0,0.0,202012,202012.0,ECT15,2.0,0.919819087,0.048260876,23.02910361,0.281076241,0.926942012,0.232986191,2.534829721,2.266460854,1.843677976,1.612823142,0.493034056,0.504984085,19782.0,0.514267877,0.02411283,0.044585987,0.0,0.0,0.006268325,0.913861086,0.0,71.0,0.82887078
85-ECT0010,ECT15,6,6.0,0.0,202101,202101.0,ECT15,2.0,0.924877608,0.048254278,22.7244186,0.274622454,0.92451677,0.233281308,2.451863354,2.250938174,1.844620212,1.624100026,0.483176508,0.48652487,19542.0,0.512838338,0.025021747,0.070408842,0.0,0.0,0.010336182,0.951338075,0.0,71.0,0.825581395
85-ECT0010,ECT15,6,6.0,0.0,202102,202102.0,ECT15,2.0,0.945948276,0.047458717,22.64085297,0.266442001,0.944629897,0.228372293,2.524008351,2.279859038,1.875465283,1.567942666,0.555649477,0.553511403,20172.0,0.521616896,0.017449066,0.073216676,0.0,0.0,0.004015268,0.967729143,0.0,73.0,0.81369248
85-ECT0010,ECT15,7,7.0,0.0,202103,202103.0,ECT15,2.0,0.933681508,0.047653111,22.50117371,0.259884437,0.928765949,0.232542747,2.735294118,2.300852431,1.969491195,1.72054784,0.491481359,0.489790698,19171.0,0.508971721,0.014866204,0.048510771,0.0,0.0,0.004694591,0.966407595,0.0,66.0,0.862676056
85-ECT0010,ECT16,0,0.0,0.0,202002,202002.0,ECT16,2.0,0.999231891,0.063628046,24.17741935,0.351721782,0.020515725,10.64737103,0.508064516,0.573576389,0.728378136,0.62672491,0.069352039,0.070564111,1499.0,0.453971749,0.002001334,0.182121414,0.0,0.0,0.0,0.067378252,0.0,6.0,0.564516129
85-ECT0010,ECT16,1,1.0,0.0,202003,202003.0,ECT16,2.0,0.994783442,0.053819684,23.16923077,0.484732021,0.018414301,12.15495306,0.507692308,0.541691919,0.718773504,0.65207265,0.068271368,0.059550763,1506.0,0.377874078,0.003320053,0.081673307,0.0,0.0,0.002656042,0.051128818,0.0,9.0,0.692307692
